"Date","Total Returns Index"
"01-Jun-2016","8393.44"
"02-Jun-2016","8467.1"
"03-Jun-2016","8512.9"
"06-Jun-2016","8488.83"
"07-Jun-2016","8597.4"
"08-Jun-2016","8616.2"
"09-Jun-2016","8547.8"
"10-Jun-2016","8506.94"
"13-Jun-2016","8370.92"
"14-Jun-2016","8384.55"
"15-Jun-2016","8491.59"
"16-Jun-2016","8428.34"
"17-Jun-2016","8472.09"
"20-Jun-2016","8479.22"
"21-Jun-2016","8473.69"
"22-Jun-2016","8475.83"
"23-Jun-2016","8569.43"
"24-Jun-2016","8362.4"
"27-Jun-2016","8398.38"
"28-Jun-2016","8441.53"
"29-Jun-2016","8543.19"
"30-Jun-2016","8652.35"
"01-Jul-2016","8659.27"
"04-Jul-2016","8724.32"
"05-Jul-2016","8688.34"
"07-Jul-2016","8770.52"
"08-Jul-2016","8735.82"
"11-Jul-2016","8934.22"
"12-Jul-2016","9073.8"
"13-Jul-2016","9054.47"
"14-Jul-2016","9137.11"
"15-Jul-2016","9226.8"
"18-Jul-2016","9195.94"
"19-Jul-2016","9184.94"
"20-Jul-2016","9198.47"
"21-Jul-2016","9090.61"
"22-Jul-2016","9150.48"
"25-Jul-2016","9286.15"
"26-Jul-2016","9232.24"
"27-Jul-2016","9317.76"
"28-Jul-2016","9366.95"
"29-Jul-2016","9295.91"
"01-Aug-2016","9239.07"
"02-Aug-2016","9153.82"
"03-Aug-2016","9058.91"
"04-Aug-2016","9046.56"
"05-Aug-2016","9211.16"
"08-Aug-2016","9253.44"
"09-Aug-2016","9218.37"
"10-Aug-2016","9104.83"
"11-Aug-2016","9143.26"
"12-Aug-2016","9308"
"16-Aug-2016","9290.83"
"17-Aug-2016","9317.67"
"18-Aug-2016","9427.32"
"19-Aug-2016","9428.81"
"22-Aug-2016","9408.3"
"23-Aug-2016","9397.04"
"24-Aug-2016","9422.59"
"25-Aug-2016","9366.24"
"26-Aug-2016","9371.81"
"29-Aug-2016","9394.59"
"30-Aug-2016","9532.59"
"31-Aug-2016","9657.26"
"01-Sep-2016","9689.75"
"02-Sep-2016","9737.55"
"06-Sep-2016","9949.92"
"07-Sep-2016","9889.48"
"08-Sep-2016","9944.96"
"09-Sep-2016","9841.58"
"12-Sep-2016","9653.41"
"14-Sep-2016","9666.73"
"15-Sep-2016","9683.65"
"16-Sep-2016","9687.81"
"19-Sep-2016","9684.39"
"20-Sep-2016","9673.37"
"21-Sep-2016","9671.73"
"22-Sep-2016","9806.89"
"23-Sep-2016","9749.12"
"26-Sep-2016","9610.74"
"27-Sep-2016","9579.9"
"28-Sep-2016","9621.41"
"29-Sep-2016","9405.86"
"30-Sep-2016","9436.06"
"03-Oct-2016","9608.99"
"04-Oct-2016","9653.45"
"05-Oct-2016","9601.35"
"06-Oct-2016","9546.92"
"07-Oct-2016","9518.2"
"10-Oct-2016","9480.72"
"13-Oct-2016","9251.74"
"14-Oct-2016","9249.32"
"17-Oct-2016","9258.01"
"18-Oct-2016","9512.86"
"19-Oct-2016","9463.23"
"20-Oct-2016","9571.31"
"21-Oct-2016","9556.9"
"24-Oct-2016","9600.44"
"25-Oct-2016","9601.63"
"26-Oct-2016","9464.5"
"27-Oct-2016","9549.75"
"28-Oct-2016","9563.88"
"30-Oct-2016","9543.45"
"01-Nov-2016","9562.15"
"02-Nov-2016","9451.53"
"03-Nov-2016","9424.97"
"04-Nov-2016","9340.81"
"07-Nov-2016","9433.43"
"08-Nov-2016","9506.09"
"09-Nov-2016","9420.23"
"10-Nov-2016","9602.93"
"11-Nov-2016","9328.62"
"15-Nov-2016","9094.83"
"16-Nov-2016","9095.41"
"17-Nov-2016","9068.18"
"18-Nov-2016","9021.34"
"21-Nov-2016","8818.63"
"22-Nov-2016","8906.49"
"23-Nov-2016","8890.79"
"24-Nov-2016","8777.1"
"25-Nov-2016","8908.34"
"28-Nov-2016","8855.39"
"29-Nov-2016","8849.2"
"30-Nov-2016","9007.84"
"01-Dec-2016","8939.41"
"02-Dec-2016","8820.25"
"05-Dec-2016","8830.68"
"06-Dec-2016","8875.85"
"07-Dec-2016","8835.66"
"08-Dec-2016","8980.85"
"09-Dec-2016","9001.31"
"12-Dec-2016","8885.22"
"13-Dec-2016","8910.33"
"14-Dec-2016","8848.85"
"15-Dec-2016","8859.45"
"16-Dec-2016","8840.3"
"19-Dec-2016","8773.48"
"20-Dec-2016","8690.81"
"21-Dec-2016","8688.73"
"22-Dec-2016","8584.94"
"23-Dec-2016","8604.25"
"26-Dec-2016","8514.1"
"27-Dec-2016","8618.42"
"28-Dec-2016","8637.17"
"29-Dec-2016","8724.01"
"30-Dec-2016","8789.05"
"02-Jan-2017","8667.06"
"03-Jan-2017","8684.38"
"04-Jan-2017","8619.44"
"05-Jan-2017","8701.84"
"06-Jan-2017","8743.14"
"09-Jan-2017","8747.15"
"10-Jan-2017","8785.92"
"11-Jan-2017","8918.03"
"12-Jan-2017","8923.73"
"13-Jan-2017","8991.18"
"16-Jan-2017","9076.27"
"17-Jan-2017","9048.25"
"18-Jan-2017","9071.91"
"19-Jan-2017","9049.66"
"20-Jan-2017","8905.88"
"23-Jan-2017","8945.37"
"24-Jan-2017","9051.14"
"25-Jan-2017","9318.56"
"27-Jan-2017","9469.48"
"30-Jan-2017","9442.48"
"31-Jan-2017","9394.7"
"01-Feb-2017","9646.98"
"02-Feb-2017","9656.71"
"03-Feb-2017","9666.02"
"06-Feb-2017","9763.09"
"07-Feb-2017","9733.72"
"08-Feb-2017","9692.44"
"09-Feb-2017","9658.1"
"10-Feb-2017","9660.19"
"13-Feb-2017","9680.48"
"14-Feb-2017","9685.56"
"15-Feb-2017","9667.46"
"16-Feb-2017","9702.23"
"17-Feb-2017","9826.71"
"20-Feb-2017","9864.92"
"21-Feb-2017","9966.71"
"22-Feb-2017","9955.84"
"23-Feb-2017","9947.32"
"27-Feb-2017","9857.16"
"28-Feb-2017","9838.3"
"01-Mar-2017","9946.02"
"02-Mar-2017","9867.15"
"03-Mar-2017","9798.19"
"06-Mar-2017","9845.86"
"07-Mar-2017","9834.52"
"08-Mar-2017","9853.51"
"09-Mar-2017","9882.87"
"10-Mar-2017","9883.15"
"14-Mar-2017","10107.43"
"15-Mar-2017","10149.05"
"16-Mar-2017","10216.3"
"17-Mar-2017","10206.2"
"20-Mar-2017","10195.45"
"21-Mar-2017","10169.76"
"22-Mar-2017","10063.63"
"23-Mar-2017","10120.96"
"24-Mar-2017","10204.69"
"27-Mar-2017","10178.46"
"28-Mar-2017","10299.19"
"29-Mar-2017","10390.14"
"30-Mar-2017","10463.82"
"31-Mar-2017","10378.48"
"03-Apr-2017","10487.2"
"05-Apr-2017","10461.41"
"06-Apr-2017","10444.57"
"07-Apr-2017","10387.34"
"10-Apr-2017","10384.79"
"11-Apr-2017","10499.69"
"12-Apr-2017","10453.81"
"13-Apr-2017","10482.31"
"17-Apr-2017","10462.59"
"18-Apr-2017","10459.46"
"19-Apr-2017","10444.28"
"20-Apr-2017","10466.33"
"21-Apr-2017","10476.45"
"24-Apr-2017","10639.17"
"25-Apr-2017","10760.94"
"26-Apr-2017","10852.45"
"27-Apr-2017","10820.61"
"28-Apr-2017","10772.66"
"02-May-2017","10834.25"
"03-May-2017","10798.83"
"04-May-2017","10964.01"
"05-May-2017","10889.67"
"08-May-2017","10908.79"
